group,variable,value
12-May-19,AGRO,0.675621246
12-May-19,CONSUMP,0.749752135
12-May-19,FINCIAL,0.199996211
12-May-19,INDUS,0.258911182
12-May-19,PROPCON,0.060018412
12-May-19,RESOURC,0.382193825
12-May-19,SERVICE,0.370313468
12-May-19,TECH,0.154293042
19-May-19,AGRO,0.673504166
19-May-19,CONSUMP,0.520240862
19-May-19,FINCIAL,0.249723886
19-May-19,INDUS,0.326535905
19-May-19,PROPCON,0.146317247
19-May-19,RESOURC,0.405611317
19-May-19,SERVICE,0.379462392
19-May-19,TECH,0.169199505
26-May-19,AGRO,0.544857675
26-May-19,CONSUMP,0.413068642
26-May-19,FINCIAL,0.187004257
26-May-19,INDUS,0.299723234
26-May-19,PROPCON,0.167343174
26-May-19,RESOURC,0.351578019
26-May-19,SERVICE,0.552419031
26-May-19,TECH,0.185926797
2-Jun-19,AGRO,0.491826227
2-Jun-19,CONSUMP,0.518422862
2-Jun-19,FINCIAL,0.293557065
2-Jun-19,INDUS,0.182480199
2-Jun-19,PROPCON,0.524492359
2-Jun-19,RESOURC,0.309348192
2-Jun-19,SERVICE,0.665955724
2-Jun-19,TECH,0.148886343
9-Jun-19,AGRO,0.391840593
9-Jun-19,CONSUMP,0.256492503
9-Jun-19,FINCIAL,0.284894465
9-Jun-19,INDUS,0.050554617
9-Jun-19,PROPCON,0.328668143
9-Jun-19,RESOURC,0.268586646
9-Jun-19,SERVICE,0.528225733
9-Jun-19,TECH,0.198008792
16-Jun-19,AGRO,0.452555472
16-Jun-19,CONSUMP,0.305484447
16-Jun-19,FINCIAL,0.392369584
16-Jun-19,INDUS,0.168220906
16-Jun-19,PROPCON,0.441729651
16-Jun-19,RESOURC,0.635200702
16-Jun-19,SERVICE,0.971073726
16-Jun-19,TECH,0.338151326
23-Jun-19,AGRO,0.500487814
23-Jun-19,CONSUMP,0.263744921
23-Jun-19,FINCIAL,0.246894074
23-Jun-19,INDUS,0.062397886
23-Jun-19,PROPCON,0.450274088
23-Jun-19,RESOURC,0.5656523
23-Jun-19,SERVICE,0.782523677
23-Jun-19,TECH,0.528539952
30-Jun-19,AGRO,0.474877604
30-Jun-19,CONSUMP,0.203375607
30-Jun-19,FINCIAL,0.302452116
30-Jun-19,INDUS,0.270698337
30-Jun-19,PROPCON,0.348373993
30-Jun-19,RESOURC,0.671995563
30-Jun-19,SERVICE,0.658552966
30-Jun-19,TECH,0.55071333
7-Jul-19,AGRO,0.490204842
7-Jul-19,CONSUMP,0.119109897
7-Jul-19,FINCIAL,0.215299505
7-Jul-19,INDUS,0.292254306
7-Jul-19,PROPCON,0.213192172
7-Jul-19,RESOURC,0.596583407
7-Jul-19,SERVICE,0.619917414
7-Jul-19,TECH,0.609750286
14-Jul-19,AGRO,0.49990839
14-Jul-19,CONSUMP,0.008982648
14-Jul-19,FINCIAL,0.186578123
14-Jul-19,INDUS,0.248117224
14-Jul-19,PROPCON,0.359233933
14-Jul-19,RESOURC,0.492393944
14-Jul-19,SERVICE,0.476089772
14-Jul-19,TECH,0.633929663
21-Jul-19,AGRO,0.449471191
21-Jul-19,CONSUMP,0.080498869
21-Jul-19,FINCIAL,0.123922914
21-Jul-19,INDUS,0.189556854
21-Jul-19,PROPCON,0.255771753
21-Jul-19,RESOURC,0.353220889
21-Jul-19,SERVICE,0.350824117
21-Jul-19,TECH,0.698413117
28-Jul-19,AGRO,0.736576584
28-Jul-19,CONSUMP,0.160193257
28-Jul-19,FINCIAL,0.185558739
28-Jul-19,INDUS,0.331504272
28-Jul-19,PROPCON,0.509093998
28-Jul-19,RESOURC,0.489590282
28-Jul-19,SERVICE,0.52440664
28-Jul-19,TECH,0.69477547
4-Aug-19,AGRO,0.783666278
4-Aug-19,CONSUMP,0.185730368
4-Aug-19,FINCIAL,0.593292939
4-Aug-19,INDUS,0.384610377
4-Aug-19,PROPCON,0.454740272
4-Aug-19,RESOURC,0.584232019
4-Aug-19,SERVICE,0.698985057
4-Aug-19,TECH,0.919005753
11-Aug-19,AGRO,0.938057887
11-Aug-19,CONSUMP,0.577103345
11-Aug-19,FINCIAL,0.927415919
11-Aug-19,INDUS,0.421515092
11-Aug-19,PROPCON,0.751585735
11-Aug-19,RESOURC,0.63552351
11-Aug-19,SERVICE,0.996122457
11-Aug-19,TECH,0.900062315
18-Aug-19,AGRO,0.74818636
18-Aug-19,CONSUMP,0.519258439
18-Aug-19,FINCIAL,0.854143911
18-Aug-19,INDUS,0.552411933
18-Aug-19,PROPCON,0.650145814
18-Aug-19,RESOURC,0.513079498
18-Aug-19,SERVICE,0.884871236
18-Aug-19,TECH,0.983831291
25-Aug-19,AGRO,0.638180374
25-Aug-19,CONSUMP,0.452749244
25-Aug-19,FINCIAL,0.83586571
25-Aug-19,INDUS,0.653409292
25-Aug-19,PROPCON,0.722918359
25-Aug-19,RESOURC,0.818833238
25-Aug-19,SERVICE,0.751314791
25-Aug-19,TECH,0.947120622
1-Sep-19,AGRO,0.695355897
1-Sep-19,CONSUMP,0.496211956
1-Sep-19,FINCIAL,0.755112976
1-Sep-19,INDUS,0.505420256
1-Sep-19,PROPCON,0.642745576
1-Sep-19,RESOURC,0.867562628
1-Sep-19,SERVICE,0.832554929
1-Sep-19,TECH,0.866849587
8-Sep-19,AGRO,0.75196885
8-Sep-19,CONSUMP,0.402838082
8-Sep-19,FINCIAL,1
8-Sep-19,INDUS,0.449340912
8-Sep-19,PROPCON,0.47410816
8-Sep-19,RESOURC,0.68625064
8-Sep-19,SERVICE,0.901968575
8-Sep-19,TECH,1
15-Sep-19,AGRO,1
15-Sep-19,CONSUMP,0.447290462
15-Sep-19,FINCIAL,0.832193666
15-Sep-19,INDUS,0.754168021
15-Sep-19,PROPCON,0.685175274
15-Sep-19,RESOURC,0.849714431
15-Sep-19,SERVICE,0.794923052
15-Sep-19,TECH,0.944688797
22-Sep-19,AGRO,0.905506053
22-Sep-19,CONSUMP,0.267030817
22-Sep-19,FINCIAL,0.664222211
22-Sep-19,INDUS,0.472563805
22-Sep-19,PROPCON,0.500991162
22-Sep-19,RESOURC,0.722809506
22-Sep-19,SERVICE,0.731734428
22-Sep-19,TECH,0.911004505
29-Sep-19,AGRO,0.872441692
29-Sep-19,CONSUMP,0.338644651
29-Sep-19,FINCIAL,0.795688343
29-Sep-19,INDUS,0.498388031
29-Sep-19,PROPCON,0.685499408
29-Sep-19,RESOURC,0.616301504
29-Sep-19,SERVICE,0.783899185
29-Sep-19,TECH,0.786573981
