group,variable,value
29-Jan-19,RESOURC,1.15
29-Jan-19,SERVICE,0.23
29-Jan-19,TECH,0.91
30-Jan-19,AGRO,0.85
30-Jan-19,CONSUMP,1.14
30-Jan-19,FINCIAL,0.19
30-Jan-19,INDUS,0.7
30-Jan-19,PROPCON,0.45
30-Jan-19,RESOURC,0.91
30-Jan-19,SERVICE,0.45
30-Jan-19,TECH,0.17
31-Jan-19,AGRO,0.2
31-Jan-19,CONSUMP,0.23
31-Jan-19,FINCIAL,1.76
31-Jan-19,INDUS,1.66
31-Jan-19,PROPCON,0.37
31-Jan-19,RESOURC,0.79
31-Jan-19,SERVICE,0.44
31-Jan-19,TECH,0.59
1-Feb-19,AGRO,0.22
1-Feb-19,CONSUMP,0.2
1-Feb-19,FINCIAL,0.56
1-Feb-19,INDUS,1.37
1-Feb-19,PROPCON,0.37
1-Feb-19,RESOURC,1.08
1-Feb-19,SERVICE,0.11
1-Feb-19,TECH,0.99
4-Feb-19,AGRO,0.27
4-Feb-19,CONSUMP,0.25
4-Feb-19,FINCIAL,0.11
4-Feb-19,INDUS,0.43
4-Feb-19,PROPCON,0.15
4-Feb-19,RESOURC,0.2
4-Feb-19,SERVICE,0.11
4-Feb-19,TECH,0.28
5-Feb-19,AGRO,0.34
5-Feb-19,CONSUMP,0.28
5-Feb-19,FINCIAL,0.12
5-Feb-19,INDUS,0.43
5-Feb-19,PROPCON,0.04
5-Feb-19,RESOURC,0.02
5-Feb-19,SERVICE,0.24
5-Feb-19,TECH,0.32
6-Feb-19,AGRO,0.07
6-Feb-19,CONSUMP,0.31
6-Feb-19,FINCIAL,0.61
6-Feb-19,INDUS,0.04
6-Feb-19,PROPCON,0.42
6-Feb-19,RESOURC,0.05
6-Feb-19,SERVICE,0.45
6-Feb-19,TECH,0.52
7-Feb-19,AGRO,0.17
7-Feb-19,CONSUMP,0.03
7-Feb-19,FINCIAL,0.15
7-Feb-19,INDUS,0.1
7-Feb-19,PROPCON,0.48
7-Feb-19,RESOURC,0.02
7-Feb-19,SERVICE,1.12
7-Feb-19,TECH,0.62
8-Feb-19,AGRO,0.73
8-Feb-19,CONSUMP,0.59
8-Feb-19,FINCIAL,0.42
8-Feb-19,INDUS,0.8
8-Feb-19,PROPCON,0.36
8-Feb-19,RESOURC,0.66
8-Feb-19,SERVICE,0.17
8-Feb-19,TECH,1.42
11-Feb-19,AGRO,0.54
11-Feb-19,CONSUMP,0.52
11-Feb-19,FINCIAL,0.71
11-Feb-19,INDUS,0.67
11-Feb-19,PROPCON,0.66
11-Feb-19,RESOURC,0.69
11-Feb-19,SERVICE,0.79
11-Feb-19,TECH,2.06
12-Feb-19,AGRO,1.03
12-Feb-19,CONSUMP,0.33
12-Feb-19,FINCIAL,0.28
12-Feb-19,INDUS,0.45
12-Feb-19,PROPCON,0.02
12-Feb-19,RESOURC,0.34
12-Feb-19,SERVICE,0.49
12-Feb-19,TECH,0.13
13-Feb-19,AGRO,0.96
13-Feb-19,CONSUMP,0.16
13-Feb-19,FINCIAL,0.33
13-Feb-19,INDUS,1.55
13-Feb-19,PROPCON,0.59
13-Feb-19,RESOURC,1.21
13-Feb-19,SERVICE,0.65
13-Feb-19,TECH,1
14-Feb-19,AGRO,0.06
14-Feb-19,CONSUMP,0.09
14-Feb-19,FINCIAL,0.24
14-Feb-19,INDUS,0.46
14-Feb-19,PROPCON,0.12
14-Feb-19,RESOURC,0.66
14-Feb-19,SERVICE,0.16
14-Feb-19,TECH,0.89
